City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,16.4,51,100,1.34,AU,1697081126
1,tiksi,71.6872,128.8694,-4.3,82,100,7.08,RU,1697080877
2,port elizabeth,-33.918,25.5701,18.16,96,100,3.6,ZA,1697081126
3,aberdeen,57.1437,-2.0981,7.03,91,47,1.03,GB,1697080929
4,ushuaia,-54.8,-68.3,4.81,75,40,12.07,AR,1697081109
5,codrington,-38.2667,141.9667,13.68,79,74,9.35,AU,1697081110
6,papatowai,-46.5619,169.4708,12.13,65,49,6.96,NZ,1697081110
7,grytviken,-54.2811,-36.5092,-5.04,72,18,3.82,GS,1697080878
8,rubio,7.7013,-72.3557,26.47,84,14,1.73,VE,1697081110
9,albany,42.6001,-73.9662,11.92,82,100,1.24,US,1697081110
10,puerto santa,-8.9906,-78.6456,18.43,89,100,5.57,PE,1697081111
11,crane,31.3974,-102.3501,22.55,64,0,11.4,US,1697081111
12,whitehorse,60.7161,-135.0538,5.43,86,40,1.54,CA,1697080879
13,jamestown,42.097,-79.2353,9.77,99,75,2.06,US,1697080898
14,turuntayevo,52.2,107.6167,8.05,51,20,1.91,RU,1697081129
15,adamstown,-25.066,-130.1015,20.61,72,2,4.67,PN,1697080880
16,isafjordur,66.0755,-23.124,1.75,92,100,17.05,IS,1697080881
17,port-aux-francais,-49.35,70.2167,1.46,100,100,5.55,TF,1697081129
18,tofol,5.3248,163.0078,28.76,73,98,3.69,FM,1697081130
19,hawaiian paradise park,19.5933,-154.9731,25.02,87,75,5.01,US,1697081130
20,badger,64.8,-147.5333,-3.86,91,100,2.06,US,1697081130
21,twon-brass,4.3151,6.2418,26.4,85,99,3.1,NG,1697080882
22,west island,-12.1568,96.8225,27.99,74,75,5.66,CC,1697081131
23,bethel,41.3712,-73.414,12.19,82,0,0.0,US,1697081131
24,qaqortoq,60.7167,-46.0333,1.95,91,11,3.34,GL,1697080883
25,ciudad lazaro cardenas,17.9583,-102.2,24.6,89,78,2.16,MX,1697080889
26,thompson,55.7435,-97.8558,7.09,53,75,2.06,CA,1697081132
